1.764	5.52807
1.77	5.54623
1.776	5.56406
1.782	5.58154
1.788	5.5987
1.794	5.61551
1.8	5.632
1.806	5.64815
1.812	5.66398
1.818	5.67948
1.824	5.69464
1.83	5.70949
1.836	5.72401
1.842	5.7382
1.848	5.75207
1.854	5.76562
1.86	5.77886
1.866	5.79177
1.872	5.80437
1.878	5.81665
1.884	5.82862
1.89	5.84027
1.896	5.85161
1.902	5.86264
1.908	5.87337
1.914	5.88378
1.92	5.89389
1.926	5.90369
1.932	5.91319
1.938	5.92239
1.944	5.93128
1.95	5.93987
1.956	5.94817
1.962	5.95617
1.968	5.96387
1.974	5.97128
1.98	5.97839
1.986	5.98521
1.992	5.99174
1.998	5.99798
2.004	6.00394
2.01	6.0096
2.016	6.01498
2.022	6.02007
2.028	6.02489
2.034	6.02942
2.04	6.03366
2.046	6.03763
2.052	6.04132
2.058	6.04474
2.064	6.04788
2.07	6.05074
2.076	6.05333
2.082	6.05566
2.088	6.05771
2.094	6.05949
2.1	6.061
2.106	6.06225
2.112	6.06323
2.118	6.06395
2.124	6.0644
2.13	6.0646
2.136	6.06453
2.142	6.06421
2.148	6.06363
2.154	6.06279
2.16	6.0617
2.166	6.06035
2.172	6.05875
2.178	6.0569
2.184	6.05481
2.19	6.05246
2.196	6.04987
2.202	6.04703
2.208	6.04394
2.214	6.04062
2.22	6.03705
2.226	6.03324
2.232	6.02919
2.238	6.02491
2.244	6.02038
2.25	6.01562
2.256	6.01063
2.262	6.00541
2.268	5.99995
2.274	5.99427
2.28	5.98835
2.286	5.98221
2.292	5.97584
2.298	5.96925
2.304	5.96243
2.31	5.95539
2.316	5.94813
2.322	5.94065
2.328	5.93295
2.334	5.92504
2.34	5.9169
2.346	5.90856
2.352	5.9
2.358	5.89123
2.364	5.88224
2.37	5.87305
2.376	5.86365
2.382	5.85405
2.388	5.84424
2.394	5.83422
2.4	5.824
2.406	5.81358
2.412	5.80296
2.418	5.79214
2.424	5.78112
2.43	5.76991
2.436	5.7585
2.442	5.74689
2.448	5.7351
2.454	5.72311
2.46	5.71094
2.466	5.69857
2.472	5.68602
2.478	5.67328
2.484	5.66036
2.49	5.64725
2.496	5.63396
2.502	5.62049
2.508	5.60684
2.514	5.59301
2.52	5.57901
2.526	5.56483
2.532	5.55047
2.538	5.53594
2.544	5.52125
2.55	5.50637
2.556	5.49134
2.562	5.47613
2.568	5.46075
2.574	5.44522
2.58	5.42951
2.586	5.41365
2.592	5.39762
2.598	5.38143
2.604	5.36508
2.61	5.34858
2.616	5.33192
2.622	5.31511
2.628	5.29814
2.634	5.28102
2.64	5.26374
2.646	5.24632
2.652	5.22875
2.658	5.21103
2.664	5.19317
2.67	5.17516
2.676	5.15701
2.682	5.13872
2.688	5.12028
2.694	5.10171
2.7	5.083
2.706	5.06415
2.712	5.04517
2.718	5.02605
2.724	5.0068
2.73	4.98742
2.736	4.9679
2.742	4.94826
2.748	4.92849
2.754	4.9086
2.76	4.88858
2.766	4.86843
2.772	4.84816
2.778	4.82777
2.784	4.80727
2.79	4.78664
2.796	4.76589
2.802	4.74503
2.808	4.72406
2.814	4.70297
2.82	4.68177
2.826	4.66046
2.832	4.63903
2.838	4.6175
2.844	4.59587
2.85	4.57412
2.856	4.55228
2.862	4.53033
2.868	4.50828
2.874	4.48612
2.88	4.46387
2.886	4.44152
2.892	4.41908
2.898	4.39653
2.904	4.3739
2.91	4.35117
2.916	4.32835
2.922	4.30544
2.928	4.28244
2.934	4.25936
2.94	4.23618
2.946	4.21293
2.952	4.18959
2.958	4.16616
2.964	4.14266
2.97	4.11907
2.976	4.09541
2.982	4.07167
2.988	4.04785
2.994	4.02396
3	4
3.006	3.97596
3.012	3.95186
3.018	3.92768
3.024	3.90344
3.03	3.87913
3.036	3.85475
3.042	3.83031
3.048	3.80581
3.054	3.78124
3.06	3.75662
3.066	3.73193
3.072	3.70719
3.078	3.68239
3.084	3.65754
3.09	3.63263
3.096	3.60767
3.102	3.58266
3.108	3.5576
3.114	3.53249
3.12	3.50733
3.126	3.48212
3.132	3.45688
3.138	3.43158
3.144	3.40625
3.15	3.38088
3.156	3.35546
3.162	3.33001
3.168	3.30452
3.174	3.27899
3.18	3.25343
3.186	3.22784
3.192	3.20221
3.198	3.17656
3.204	3.15087
3.21	3.12516
3.216	3.09942
3.222	3.07366
3.228	3.04787
3.234	3.02206
3.24	2.99622
3.246	2.97037
3.252	2.9445
3.258	2.91861
3.264	2.8927
3.27	2.86678
3.276	2.84085
3.282	2.8149
3.288	2.78894
3.294	2.76298
3.3	2.737
3.306	2.71102
3.312	2.68503
3.318	2.65903
3.324	2.63304
3.33	2.60704
3.336	2.58104
3.342	2.55504
3.348	2.52904
3.354	2.50305
3.36	2.47706
3.366	2.45107
3.372	2.42509
3.378	2.39913
3.384	2.37317
3.39	2.34722
3.396	2.32128
3.402	2.29536
3.408	2.26945
3.414	2.24356
3.42	2.21769
3.426	2.19183
3.432	2.166
3.438	2.14018
3.444	2.11439
3.45	2.08863
3.456	2.06288
3.462	2.03717
3.468	2.01148
3.474	1.98582
3.48	1.96019
3.486	1.9346
3.492	1.90903
3.498	1.8835
3.504	1.85801
3.51	1.83255
3.516	1.80713
3.522	1.78175
3.528	1.75641
3.534	1.73112
3.54	1.70586
3.546	1.68066
3.552	1.65549
3.558	1.63038
3.564	1.60531
3.57	1.58029
3.576	1.55533
3.582	1.53041
3.588	1.50555
3.594	1.48075
3.6	1.456
3.606	1.43131
3.612	1.40668
3.618	1.38211
3.624	1.35759
3.63	1.33315
3.636	1.30876
3.642	1.28445
3.648	1.26019
3.654	1.23601
3.66	1.2119
3.666	1.18785
3.672	1.16388
3.678	1.13998
3.684	1.11616
3.69	1.09241
3.696	1.06874
3.702	1.04514
3.708	1.02163
3.714	0.998198
3.72	0.974848
3.726	0.951581
3.732	0.928399
3.738	0.905303
3.744	0.882295
3.75	0.859375
3.756	0.836545
3.762	0.813807
3.768	0.791161
3.774	0.768609
3.78	0.746152
3.786	0.723792
3.792	0.701529
