x1	x2	x3	error
5.10047e+08	-8.79341e+08	-6.94694e+08	0.139429
5.92684e+08	-1.02181e+09	-8.07247e+08	0.139429
6.88711e+08	-1.18736e+09	-9.38037e+08	0.139429
8.00295e+08	-1.37974e+09	-1.09002e+09	0.139429
9.29958e+08	-1.60328e+09	-1.26662e+09	0.139429
1.08063e+09	-1.86304e+09	-1.47184e+09	0.139429
1.25571e+09	-2.16489e+09	-1.7103e+09	0.139429
1.45916e+09	-2.51565e+09	-1.9874e+09	0.139429
1.69557e+09	-2.92323e+09	-2.3094e+09	0.139429
1.97029e+09	-3.39685e+09	-2.68357e+09	0.139429
2.28951e+09	-3.9472e+09	-3.11836e+09	0.139429
2.66046e+09	-4.58673e+09	-3.62359e+09	0.139429
3.0915e+09	-5.32986e+09	-4.21068e+09	0.139429
3.59238e+09	-6.1934e+09	-4.89289e+09	0.139429
4.17442e+09	-7.19685e+09	-5.68563e+09	0.139429
4.85075e+09	-8.36288e+09	-6.60681e+09	0.139429
5.63666e+09	-9.71782e+09	-7.67724e+09	0.139429
6.54991e+09	-1.12923e+10	-8.9211e+09	0.139429
7.61112e+09	-1.31219e+10	-1.03665e+10	0.139429
8.84427e+09	-1.52479e+10	-1.20461e+10	0.139429
1.02772e+10	-1.77183e+10	-1.39978e+10	0.139429
1.19423e+10	-2.0589e+10	-1.62657e+10	0.139429
1.38772e+10	-2.39248e+10	-1.8901e+10	0.139429
1.61256e+10	-2.78011e+10	-2.19633e+10	0.139429
1.87382e+10	-3.23054e+10	-2.55218e+10	0.139429
2.17742e+10	-3.75395e+10	-2.96568e+10	0.139429
2.5302e+10	-4.36216e+10	-3.44618e+10	0.139429
2.94014e+10	-5.06891e+10	-4.00452e+10	0.139429
3.4165e+10	-5.89017e+10	-4.65333e+10	0.139429
3.97003e+10	-6.84449e+10	-5.40726e+10	0.139429
4.61326e+10	-7.95343e+10	-6.28334e+10	0.139429
5.36069e+10	-9.24204e+10	-7.30136e+10	0.139429
6.22923e+10	-1.07394e+11	-8.48432e+10	0.139429
7.23848e+10	-1.24794e+11	-9.85894e+10	0.139429
8.41125e+10	-1.45013e+11	-1.14563e+11	0.139429
9.77403e+10	-1.68508e+11	-1.33124e+11	0.139429
1.13576e+11	-1.9581e+11	-1.54693e+11	0.139429
1.31978e+11	-2.27534e+11	-1.79756e+11	0.139429
1.5336e+11	-2.64399e+11	-2.0888e+11	0.139429
1.78208e+11	-3.07237e+11	-2.42722e+11	0.139429
2.07081e+11	-3.57015e+11	-2.82048e+11	0.139429
2.40632e+11	-4.14859e+11	-3.27745e+11	0.139429
2.79619e+11	-4.82074e+11	-3.80846e+11	0.139429
3.24922e+11	-5.60179e+11	-4.42551e+11	0.139429
3.77566e+11	-6.50938e+11	-5.14252e+11	0.139429
4.38739e+11	-7.56403e+11	-5.97571e+11	0.139429
5.09823e+11	-8.78954e+11	-6.94389e+11	0.139429
5.92424e+11	-1.02136e+12	-8.06893e+11	0.139429
6.88408e+11	-1.18684e+12	-9.37625e+11	0.139429
7.99943e+11	-1.37913e+12	-1.08954e+12	0.139429
9.29549e+11	-1.60258e+12	-1.26606e+12	0.139429
1.08015e+12	-1.86223e+12	-1.47119e+12	0.139429
1.25516e+12	-2.16394e+12	-1.70955e+12	0.139429
1.45852e+12	-2.51454e+12	-1.98653e+12	0.139429
1.69483e+12	-2.92195e+12	-2.30839e+12	0.139429
1.96942e+12	-3.39536e+12	-2.68239e+12	0.139429
2.2885e+12	-3.94547e+12	-3.11699e+12	0.139429
2.65929e+12	-4.58471e+12	-3.622e+12	0.139429
3.09014e+12	-5.32752e+12	-4.20883e+12	0.139429
3.5908e+12	-6.19068e+12	-4.89074e+12	0.139429
4.17258e+12	-7.19369e+12	-5.68314e+12	0.139429
4.84862e+12	-8.3592e+12	-6.60391e+12	0.139429
5.63419e+12	-9.71355e+12	-7.67387e+12	0.139429
6.54703e+12	-1.12873e+13	-8.91718e+12	0.139429
7.60778e+12	-1.31161e+13	-1.03619e+13	0.139429
8.84038e+12	-1.52412e+13	-1.20408e+13	0.139429
1.02727e+13	-1.77105e+13	-1.39916e+13	0.139429
1.19371e+13	-2.058e+13	-1.62585e+13	0.139429
1.38711e+13	-2.39143e+13	-1.88927e+13	0.139429
1.61185e+13	-2.77889e+13	-2.19537e+13	0.139429
1.873e+13	-3.22912e+13	-2.55106e+13	0.139429
2.17646e+13	-3.7523e+13	-2.96438e+13	0.139429
2.52909e+13	-4.36024e+13	-3.44466e+13	0.139429
2.93885e+13	-5.06668e+13	-4.00277e+13	0.139429
3.415e+13	-5.88758e+13	-4.65129e+13	0.139429
3.96829e+13	-6.84148e+13	-5.40489e+13	0.139429
4.61123e+13	-7.94993e+13	-6.28058e+13	0.139429
5.35834e+13	-9.23798e+13	-7.29816e+13	0.139429
6.22649e+13	-1.07347e+14	-8.4806e+13	0.139429
7.2353e+13	-1.24739e+14	-9.85461e+13	0.139429
8.40755e+13	-1.44949e+14	-1.14512e+14	0.139429
9.76974e+13	-1.68434e+14	-1.33066e+14	0.139429
1.13526e+14	-1.95724e+14	-1.54625e+14	0.139429
1.3192e+14	-2.27434e+14	-1.79677e+14	0.139429
1.53293e+14	-2.64283e+14	-2.08788e+14	0.139429
1.7813e+14	-3.07102e+14	-2.42616e+14	0.139429
2.0699e+14	-3.56858e+14	-2.81924e+14	0.139429
2.40526e+14	-4.14676e+14	-3.27601e+14	0.139429
2.79496e+14	-4.81862e+14	-3.80679e+14	0.139429
3.2478e+14	-5.59933e+14	-4.42356e+14	0.139429
3.774e+14	-6.50652e+14	-5.14026e+14	0.139429
4.38546e+14	-7.5607e+14	-5.97308e+14	0.139429
5.09599e+14	-8.78568e+14	-6.94084e+14	0.139429
5.92164e+14	-1.02091e+15	-8.06538e+14	0.139429
6.88106e+14	-1.18632e+15	-9.37213e+14	0.139429
7.99592e+14	-1.37853e+15	-1.08906e+15	0.139429
9.29141e+14	-1.60187e+15	-1.26551e+15	0.139429
1.07968e+15	-1.86141e+15	-1.47054e+15	0.139429
1.25461e+15	-2.16299e+15	-1.7088e+15	0.139429
1.45788e+15	-2.51344e+15	-1.98566e+15	0.139429
1.69408e+15	-2.92066e+15	-2.30737e+15	0.139429
1.96856e+15	-3.39387e+15	-2.68121e+15	0.139429
2.2875e+15	-3.94374e+15	-3.11562e+15	0.139429
2.65812e+15	-4.5827e+15	-3.62041e+15	0.139429
3.08878e+15	-5.32518e+15	-4.20698e+15	0.139429
3.58923e+15	-6.18796e+15	-4.88859e+15	0.139429
4.17075e+15	-7.19053e+15	-5.68064e+15	0.139429
4.84649e+15	-8.35553e+15	-6.60101e+15	0.139429
5.63171e+15	-9.70929e+15	-7.6705e+15	0.139429
6.54416e+15	-1.12824e+16	-8.91327e+15	0.139429
7.60444e+15	-1.31103e+16	-1.03574e+16	0.139429
8.8365e+15	-1.52345e+16	-1.20355e+16	0.139429
1.02682e+16	-1.77027e+16	-1.39855e+16	0.139429
1.19318e+16	-2.05709e+16	-1.62514e+16	0.139429
1.3865e+16	-2.39038e+16	-1.88844e+16	0.139429
1.61114e+16	-2.77767e+16	-2.1944e+16	0.139429
1.87217e+16	-3.2277e+16	-2.54994e+16	0.139429
2.1755e+16	-3.75065e+16	-2.96308e+16	0.139429
2.52798e+16	-4.35833e+16	-3.44315e+16	0.139429
2.93756e+16	-5.06446e+16	-4.00101e+16	0.139429
3.4135e+16	-5.885e+16	-4.64925e+16	0.139429
3.96655e+16	-6.83848e+16	-5.40251e+16	0.139429
4.6092e+16	-7.94644e+16	-6.27782e+16	0.139429
5.35598e+16	-9.23392e+16	-7.29495e+16	0.139429
6.22375e+16	-1.073e+17	-8.47687e+16	0.139429
7.23212e+16	-1.24684e+17	-9.85028e+16	0.139429
8.40386e+16	-1.44886e+17	-1.14462e+17	0.139429
9.76545e+16	-1.6836e+17	-1.33007e+17	0.139429
1.13476e+17	-1.95638e+17	-1.54557e+17	0.139429
1.31862e+17	-2.27335e+17	-1.79598e+17	0.139429
1.53226e+17	-2.64167e+17	-2.08696e+17	0.139429
1.78051e+17	-3.06967e+17	-2.42509e+17	0.139429
2.06899e+17	-3.56702e+17	-2.818e+17	0.139429
2.40421e+17	-4.14494e+17	-3.27457e+17	0.139429
2.79373e+17	-4.8165e+17	-3.80512e+17	0.139429
3.24637e+17	-5.59687e+17	-4.42162e+17	0.139429
3.77234e+17	-6.50366e+17	-5.138e+17	0.139429
4.38354e+17	-7.55738e+17	-5.97046e+17	0.139429
5.09375e+17	-8.78182e+17	-6.93779e+17	0.139429
5.91904e+17	-1.02046e+18	-8.06184e+17	0.139429
6.87803e+17	-1.1858e+18	-9.36801e+17	0.139429
7.99241e+17	-1.37792e+18	-1.08858e+18	0.139429
9.28733e+17	-1.60117e+18	-1.26495e+18	0.139429
1.07921e+18	-1.86059e+18	-1.4699e+18	0.139429
1.25406e+18	-2.16204e+18	-1.70805e+18	0.139429
1.45724e+18	-2.51233e+18	-1.98479e+18	0.139429
1.69334e+18	-2.91938e+18	-2.30636e+18	0.139429
1.96769e+18	-3.39237e+18	-2.68003e+18	0.139429
2.28649e+18	-3.942e+18	-3.11425e+18	0.139429
2.65695e+18	-4.58068e+18	-3.61882e+18	0.139429
3.08743e+18	-5.32284e+18	-4.20513e+18	0.139429
3.58765e+18	-6.18524e+18	-4.88645e+18	0.139429
4.16892e+18	-7.18737e+18	-5.67814e+18	0.139429
4.84436e+18	-8.35186e+18	-6.59811e+18	0.139429
5.62924e+18	-9.70502e+18	-7.66713e+18	0.139429
